            Unix Timestamp,               UTC_Date_&_Time,                 Colombia Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
1678724820,           2023-03-13 16:27:00,           2023-03-13 11:27:00,3.52,28.999,0.1,16,1046,1112
1678725720,           2023-03-13 16:42:00,           2023-03-13 11:42:00,3.52,28.746,0.2,-40,865,1080
1678726620,           2023-03-13 16:57:00,           2023-03-13 11:57:00,3.53,28.574,1.1,-488,-560,1296
1678727520,           2023-03-13 17:12:00,           2023-03-13 12:12:00,3.53,27.367,6.3,-501,841,1139
1678728420,           2023-03-13 17:27:00,           2023-03-13 12:27:00,3.53,27.136,117,1108,176,208
1678729320,           2023-03-13 17:42:00,           2023-03-13 12:42:00,3.53,27.144,126.2,1112,177,208
1678730220,           2023-03-13 17:57:00,           2023-03-13 12:57:00,3.53,27.111,41,1112,177,206
1678731120,           2023-03-13 18:12:00,           2023-03-13 13:12:00,3.53,27.128,99.8,1172,183,127
1678732020,           2023-03-13 18:27:00,           2023-03-13 13:27:00,3.53,27.119,99.9,1112,176,208
1678732920,           2023-03-13 18:42:00,           2023-03-13 13:42:00,3.53,27.111,92.5,1112,177,208
1678733820,           2023-03-13 18:57:00,           2023-03-13 13:57:00,3.53,27.128,85.7,1108,179,207
1678734720,           2023-03-13 19:12:00,           2023-03-13 14:12:00,3.53,27.094,76.6,1112,179,207
1678735620,           2023-03-13 19:27:00,           2023-03-13 14:27:00,3.53,27.128,70.9,1171,179,127
1678736520,           2023-03-13 19:42:00,           2023-03-13 14:42:00,3.53,27.119,68.6,1112,176,207
1678737420,           2023-03-13 19:57:00,           2023-03-13 14:57:00,3.53,27.086,62.6,1174,177,127
1678738320,           2023-03-13 20:12:00,           2023-03-13 15:12:00,3.53,27.103,55.7,1112,179,208
1678739220,           2023-03-13 20:27:00,           2023-03-13 15:27:00,3.53,27.103,47.1,1112,176,206
1678740120,           2023-03-13 20:42:00,           2023-03-13 15:42:00,3.53,27.111,40,1113,179,207
1678741020,           2023-03-13 20:57:00,           2023-03-13 15:57:00,3.53,27.094,37.2,1111,179,207
1678741920,           2023-03-13 21:12:00,           2023-03-13 16:12:00,3.53,27.103,29.9,1168,180,127
1678742820,           2023-03-13 21:27:00,           2023-03-13 16:27:00,3.53,27.094,23.8,1175,179,127
1678743720,           2023-03-13 21:42:00,           2023-03-13 16:42:00,3.53,27.086,19,1112,179,207
1678744620,           2023-03-13 21:57:00,           2023-03-13 16:57:00,3.53,27.078,15,1110,176,206
1678745520,           2023-03-13 22:12:00,           2023-03-13 17:12:00,3.53,27.086,11.6,1112,179,207
1678746420,           2023-03-13 22:27:00,           2023-03-13 17:27:00,3.53,27.094,9.4,1176,177,127
1678747320,           2023-03-13 22:42:00,           2023-03-13 17:42:00,3.53,27.094,7.9,1176,177,127
1678748220,           2023-03-13 22:57:00,           2023-03-13 17:57:00,3.53,27.094,4.1,1112,177,207
1678749120,           2023-03-13 23:12:00,           2023-03-13 18:12:00,3.53,27.086,2,1112,179,208
1678750020,           2023-03-13 23:27:00,           2023-03-13 18:27:00,3.53,27.094,0.7,1112,176,206
1678750920,           2023-03-13 23:42:00,           2023-03-13 18:42:00,3.53,27.07,0.1,1112,180,208
1678751820,           2023-03-13 23:57:00,           2023-03-13 18:57:00,3.53,27.078,-0.2,1113,177,206
1678752720,           2023-03-14 00:12:00,           2023-03-13 19:12:00,3.53,27.086,0.3,1116,179,207
1678753620,           2023-03-14 00:27:00,           2023-03-13 19:27:00,3.53,27.094,0,1112,179,207
