            Unix Timestamp,               UTC_Date_&_Time,                 Colombia Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
1678804440,           2023-03-14 14:34:00,           2023-03-14 09:34:00,3.53,30.021,32.7,-152,1048,-680
1678805340,           2023-03-14 14:49:00,           2023-03-14 09:49:00,3.52,29.52,9.8,-143,-764,1315
1678806240,           2023-03-14 15:04:00,           2023-03-14 10:04:00,3.53,27.902,116.4,1164,70,398
1678807140,           2023-03-14 15:19:00,           2023-03-14 10:19:00,3.53,27.317,143,1075,24,536
1678808040,           2023-03-14 15:34:00,           2023-03-14 10:34:00,3.53,27.218,168.5,1148,60,440
1678808940,           2023-03-14 15:49:00,           2023-03-14 10:49:00,3.53,27.152,186.1,1151,64,435
1678809840,           2023-03-14 16:04:00,           2023-03-14 11:04:00,3.53,27.169,211.7,1153,64,424
1678810740,           2023-03-14 16:19:00,           2023-03-14 11:19:00,3.53,27.161,229.1,1144,56,452
1678811640,           2023-03-14 16:34:00,           2023-03-14 11:34:00,3.53,27.177,233.8,1143,56,460
1678812540,           2023-03-14 16:49:00,           2023-03-14 11:49:00,3.53,27.177,247.2,1064,23,528
1678813440,           2023-03-14 17:04:00,           2023-03-14 12:04:00,3.53,27.177,258.7,1144,56,462
1678814340,           2023-03-14 17:19:00,           2023-03-14 12:19:00,3.53,27.185,262.7,1126,44,496
1678815240,           2023-03-14 17:34:00,           2023-03-14 12:34:00,3.53,27.185,262.4,1128,48,488
1678816140,           2023-03-14 17:49:00,           2023-03-14 12:49:00,3.53,27.169,268.2,1145,60,448
1678817040,           2023-03-14 18:04:00,           2023-03-14 13:04:00,3.53,27.194,263,1137,54,467
1678817940,           2023-03-14 18:19:00,           2023-03-14 13:19:00,3.53,27.185,257.5,1151,64,432
1678818840,           2023-03-14 18:34:00,           2023-03-14 13:34:00,3.53,27.194,256.3,1126,44,496
1678819740,           2023-03-14 18:49:00,           2023-03-14 13:49:00,3.53,27.144,245.5,1150,60,440
1678820640,           2023-03-14 19:04:00,           2023-03-14 14:04:00,3.53,27.194,237.4,1144,60,448
1678821540,           2023-03-14 19:19:00,           2023-03-14 14:19:00,3.53,27.185,227.8,1126,44,494
1678822440,           2023-03-14 19:34:00,           2023-03-14 14:34:00,3.53,27.218,216.1,1137,51,468
1678823340,           2023-03-14 19:49:00,           2023-03-14 14:49:00,3.53,27.177,201,1136,51,472
1678824240,           2023-03-14 20:04:00,           2023-03-14 15:04:00,3.53,27.185,181.3,1127,48,496
1678825140,           2023-03-14 20:19:00,           2023-03-14 15:19:00,3.53,27.194,163.8,1150,60,440
1678826040,           2023-03-14 20:34:00,           2023-03-14 15:34:00,3.53,27.177,146.7,1134,48,480
1678826940,           2023-03-14 20:49:00,           2023-03-14 15:49:00,3.53,27.152,127.7,1155,64,419
1678827840,           2023-03-14 21:04:00,           2023-03-14 16:04:00,3.53,27.161,108.9,1152,64,424
1678828740,           2023-03-14 21:19:00,           2023-03-14 16:19:00,3.53,27.152,92.4,1158,67,419
1678829640,           2023-03-14 21:34:00,           2023-03-14 16:34:00,3.53,27.169,75.7,1160,70,404
1678830540,           2023-03-14 21:49:00,           2023-03-14 16:49:00,3.53,27.144,61.4,1182,72,339
1678831440,           2023-03-14 22:04:00,           2023-03-14 17:04:00,3.53,27.152,47.6,1072,24,534
1678832340,           2023-03-14 22:19:00,           2023-03-14 17:19:00,3.53,27.136,34.8,1132,48,484
1678833240,           2023-03-14 22:34:00,           2023-03-14 17:34:00,3.53,27.128,24.1,1159,68,412
1678834140,           2023-03-14 22:49:00,           2023-03-14 17:49:00,3.53,27.144,15.6,1150,64,432
1678835040,           2023-03-14 23:04:00,           2023-03-14 18:04:00,3.53,27.119,8.8,1144,56,454
1678835940,           2023-03-14 23:19:00,           2023-03-14 18:19:00,3.53,27.119,3.5,1159,68,414
1678836840,           2023-03-14 23:34:00,           2023-03-14 18:34:00,3.53,27.103,0.3,1118,36,510
1678837740,           2023-03-14 23:49:00,           2023-03-14 18:49:00,3.53,27.094,-0.2,1155,67,424
1678838640,           2023-03-15 00:04:00,           2023-03-14 19:04:00,3.53,27.103,0.1,1151,64,432
1678839540,           2023-03-15 00:19:00,           2023-03-14 19:19:00,3.53,27.078,-0.1,1200,79,311
1678840440,           2023-03-15 00:34:00,           2023-03-14 19:34:00,3.53,27.128,0.3,1068,23,528
1678841340,           2023-03-15 00:49:00,           2023-03-14 19:49:00,3.53,27.094,-0.2,1196,81,319
1678842240,           2023-03-15 01:04:00,           2023-03-14 20:04:00,3.53,27.103,-0.2,1068,24,531
1678843140,           2023-03-15 01:19:00,           2023-03-14 20:19:00,3.53,27.086,0,1064,24,532
1678844040,           2023-03-15 01:34:00,           2023-03-14 20:34:00,3.53,27.086,-0.3,1075,24,536
1678844940,           2023-03-15 01:49:00,           2023-03-14 20:49:00,3.53,27.094,0,1192,68,323
1678845840,           2023-03-15 02:04:00,           2023-03-14 21:04:00,3.53,27.07,0,1068,24,531
1678846740,           2023-03-15 02:19:00,           2023-03-14 21:19:00,3.53,27.078,0.1,1065,24,534
1678847640,           2023-03-15 02:34:00,           2023-03-14 21:34:00,3.53,27.061,-0.1,1072,24,532
1678848540,           2023-03-15 02:49:00,           2023-03-14 21:49:00,3.53,27.07,-0.3,1064,24,531
1678849440,           2023-03-15 03:04:00,           2023-03-14 22:04:00,3.53,27.07,-0.4,1072,24,534
1678850340,           2023-03-15 03:19:00,           2023-03-14 22:19:00,3.53,27.078,-0.3,1068,24,531
1678851240,           2023-03-15 03:34:00,           2023-03-14 22:34:00,3.53,27.094,0.1,1128,46,492
1678852140,           2023-03-15 03:49:00,           2023-03-14 22:49:00,3.53,27.078,-0.1,1159,70,409
1678853040,           2023-03-15 04:04:00,           2023-03-14 23:04:00,3.53,27.094,0,1159,68,412
1678853940,           2023-03-15 04:19:00,           2023-03-14 23:19:00,3.53,27.094,-0.1,1088,30,536
1678854840,           2023-03-15 04:34:00,           2023-03-14 23:34:00,3.53,27.061,-0.2,1144,56,448
1678855740,           2023-03-15 04:49:00,           2023-03-14 23:49:00,3.53,27.07,0.1,1144,60,452
1678856640,           2023-03-15 05:04:00,           2023-03-15 00:04:00,3.53,27.053,-0.1,1104,35,524
1678857540,           2023-03-15 05:19:00,           2023-03-15 00:19:00,3.53,27.045,-0.4,1068,24,534
1678858440,           2023-03-15 05:34:00,           2023-03-15 00:34:00,3.53,27.07,-0.1,1196,67,315
1678859340,           2023-03-15 05:49:00,           2023-03-15 00:49:00,3.53,27.078,-0.2,1184,72,334
1678860240,           2023-03-15 06:04:00,           2023-03-15 01:04:00,3.53,27.086,-0.1,1075,24,536
