sample,site,species,depth,six_six_three,six_six_four,six_three_zero,six_four_seven,six_nine_one
CC-MCAV 10M 1.1,coral_city,mcav,10,0.0835,0.08225,0.05475,0.0515,0.04175
CC-MCAV 10M 3.1,coral_city,mcav,10,0.0525,0.04125,0.03775,0.0225,0.01275
CC-MCAV 10M 4.1,coral_city,mcav,10,0.1025,0.10125,0.03775,0.0415,0.01375
CC-MCAV 10M 6.1,coral_city,mcav,10,0.0955,0.09825,0.03275,0.0365,0.02475
CC-MCAV 10M 7.1,coral_city,mcav,10,0.0155,0.01525,0.00875,0.0085,0.00775
CC-MCAV 10M 8.1,coral_city,mcav,10,0.1505,0.13825,0.06575,0.0605,0.02575
CC-MCAV 20M 1.1,coral_city,mcav,20,0.0385,0.03925,0.02275,0.0235,0.01375
CC-MCAV 20M 3.1,coral_city,mcav,20,0.0515,0.05225,0.02375,0.0225,0.01975
CC-MCAV 20M 5.1,coral_city,mcav,20,0.0605,0.06025,0.02575,0.0245,0.00775
CC-MCAV 20M 6.1,coral_city,mcav,20,0.1985,0.19525,0.05575,0.0645,0.03275
CC-MCAV 20M 7.1,coral_city,mcav,20,0.1305,0.13025,0.04175,0.0385,0.00875
CC-MCAV 30M 1.1,coral_city,mcav,30,0.0815,0.08225,0.04475,0.0415,0.03575
CC-MCAV 30M 2.1,coral_city,mcav,30,0.0575,0.05525,0.02575,0.0265,0.01775
CC-MCAV 30M 3.1,coral_city,mcav,30,0.1945,0.19625,0.08475,0.0775,0.07375
CC-MCAV 30M 4.1,coral_city,mcav,30,0.1305,0.12725,0.04575,0.0455,0.01375
CC-MCAV 30M 5.1,coral_city,mcav,30,0.0375,0.03925,0.01875,0.0235,0.01275
CC-MCAV 30M 6.1,coral_city,mcav,30,0.2595,0.25825,0.08275,0.0795,0.03575
CC-MCAV 30M 7.1,coral_city,mcav,30,0.1435,0.14425,0.04775,0.0445,0.01675
CC-MCAV 30M 8.1,coral_city,mcav,30,0.1215,0.12225,0.03175,0.0365,0.00175
CC-MCAV 40M 1.1,coral_city,mcav,40,0.0295,0.02725,0.02175,0.0205,0.01375
CC-MCAV 40M 2.1,coral_city,mcav,40,0.2015,0.20025,0.06875,0.0745,0.02375
CC-MCAV 40M 3.1,coral_city,mcav,40,0.1565,0.15725,0.06875,0.0605,0.04575
CC-MCAV 40M 4.1,coral_city,mcav,40,0.2555,0.25525,0.08775,0.0845,0.02175
CC-MCAV 40M 5.1,coral_city,mcav,40,0.3815,0.38425,0.13375,0.1235,0.06075
CC-MCAV 40M 7.1,coral_city,mcav,40,0.2225,0.22325,0.06875,0.0705,0.03275
CC-MCAV 40M 8.1,coral_city,mcav,40,0.1205,0.12025,0.03775,0.0365,0.00775
CC-MCAV 50M 1.1,coral_city,mcav,50,0.3035,0.30025,0.10375,0.1115,0.04175
CC-MCAV 50M 2.1,coral_city,mcav,50,0.1915,0.19225,0.09875,0.0955,0.05975
CC-MCAV 50M 3.1,coral_city,mcav,50,0.1855,0.18325,0.05575,0.0605,0.00875
CC-MCAV 50M 4.1,coral_city,mcav,50,0.1485,0.14925,0.04275,0.0395,0.00875
CC-MCAV 50M 5.1,coral_city,mcav,50,0.0445,0.04525,0.01075,0.0115,-0.00025
CC-MCAV 50M 7.1,coral_city,mcav,50,0.2155,0.21625,0.06475,0.0655,0.00675
CC-MCAV 50M 8.1,coral_city,mcav,50,0.1005,0.10125,0.03475,0.0305,0.01375
CC-PAST 10M 1.1,coral_city,past,10,0.2625,0.26525,0.09875,0.0885,0.03175
CC-PAST 10M 2.1,coral_city,past,10,0.3435,0.35125,0.11775,0.1185,0.08975
CC-PAST 10M 3.1,coral_city,past,10,0.2225,0.22325,0.10275,0.0905,0.09375
CC-PAST 10M 5.1,coral_city,past,10,0.0685,0.06925,0.01475,0.0145,-0.00425
CC-PAST 10M 6.1,coral_city,past,10,0.1505,0.15425,0.04875,0.0435,0.00975
CC-PAST 10M 7.1,coral_city,past,10,0.4195,0.12525,0.14675,0.1225,0.05975
CC-PAST 10M 8.1,coral_city,past,10,0.1575,0.15825,0.04575,0.0435,0.00775
CC-PAST 20M 1.1,coral_city,past,20,0.0845,0.08625,0.03675,0.0355,0.02375
CC-PAST 20M 2.1,coral_city,past,20,0.3275,0.33025,0.10675,0.1035,0.02575
CC-PAST 20M 3.1,coral_city,past,20,0.1665,0.16925,0.04675,0.0465,0.01075
CC-PAST 20M 4.1,coral_city,past,20,0.0845,0.08725,0.02275,0.0215,0.00475
CC-PAST 20M 5.1,coral_city,past,20,0.0905,0.09125,0.02375,0.0215,-0.00025
CC-PAST 20M 6.1,coral_city,past,20,0.1475,0.05525,0.05875,0.0525,0.02675
CC-PAST 20M 7.1,coral_city,past,20,0.0905,0.09225,0.02475,0.0255,0.00475
CC-PAST 20M 8.1,coral_city,past,20,0.2805,0.28225,0.08975,0.0885,0.05475
CC-PAST 30M 1.1,coral_city,past,30,0.1215,0.12525,0.05575,0.0505,0.02475
CC-PAST 30M 2.1,coral_city,past,30,0.0995,0.09425,0.03775,0.0375,0.01375
CC-PAST 30M 3.1,coral_city,past,30,0.2435,0.24725,0.09275,0.0875,0.09775
CC-PAST 30M 4.1,coral_city,past,30,0.2285,0.23625,0.07075,0.0675,0.03775
CC-PAST 30M 5.1,coral_city,past,30,0.0945,0.09525,0.02875,0.0275,0.02775
CC-PAST 30M 6.1,coral_city,past,30,0.0985,0.03825,0.03975,0.0355,0.04875
CC-PAST 30M 7.1,coral_city,past,30,0.1265,0.12925,0.04175,0.0395,0.03275
CC-PAST 30M 8.1,coral_city,past,30,0.0625,0.06325,0.01775,0.0155,-0.00025
CC-PAST 40M 1.1,coral_city,past,40,0.1045,0.10725,0.04675,0.0445,0.02875
CC-PAST 40M 2.1,coral_city,past,40,0.2915,0.29625,0.10275,0.0995,0.07075
CC-PAST 40M 3.1,coral_city,past,40,0.1395,0.14325,0.05275,0.0475,0.01875
CC-PAST 40M 4.1,coral_city,past,40,0.2125,0.21625,0.07975,0.0755,0.06675
CC-PAST 40M 5.1,coral_city,past,40,0.2705,0.27425,0.10075,0.0955,0.08175
CC-PAST 40M 6.1,coral_city,past,40,0.2425,0.07525,0.07275,0.0725,0.03675
CC-PAST 40M 7.1,coral_city,past,40,0.0735,0.07425,0.02175,0.0225,0.01675
CC-PAST 40M 8.1,coral_city,past,40,0.1035,0.10325,0.03275,0.0305,0.01375
MF-PAST 10M 1.1,marthas,past,10,0.1225,0.1225,0.0535,0.0545,0.0305
MF-PAST 10M 2.1,marthas,past,10,0.2335,0.2355,0.1065,0.0895,0.0645
MF-PAST 10M 3.1,marthas,past,10,0.2085,0.2105,0.0915,0.0805,0.0585
MF-PAST 10M 4.1,marthas,past,10,0.3915,0.3965,0.1495,0.1405,0.0635
MF-PAST 10M 5.1,marthas,past,10,0.3495,0.3575,0.1475,0.1545,0.0985
MF-PAST 10M 7.1,marthas,past,10,0.0775,0.0785,0.0275,0.0265,0.0125
MF-PAST 10M 8.1,marthas,past,10,0.1905,0.1935,0.0995,0.1025,0.0815
MF-PAST 20M 1.1,marthas,past,20,0.0795,0.0795,0.0375,0.0385,0.0275
