"","sample","site","species","depth","six_six_three","six_six_four","six_three_zero","six_four_seven","six_nine_one","ug_ml"
"1","CC-MCAV 10M 1.1","coral_city","mcav",10,0.0835,0.08225,0.05475,0.0515,0.04175,0.850806675
"2","CC-MCAV 10M 3.1","coral_city","mcav",10,0.0525,0.04125,0.03775,0.0225,0.01275,0.447646075
"3","CC-MCAV 10M 4.1","coral_city","mcav",10,0.1025,0.10125,0.03775,0.0415,0.01375,1.129645975
"4","CC-MCAV 10M 6.1","coral_city","mcav",10,0.0955,0.09825,0.03275,0.0365,0.02475,1.085159775
"5","CC-MCAV 10M 7.1","coral_city","mcav",10,0.0155,0.01525,0.00875,0.0085,0.00775,0.159103775
"6","CC-MCAV 10M 8.1","coral_city","mcav",10,0.1505,0.13825,0.06575,0.0605,0.02575,1.530485875
"7","CC-MCAV 20M 1.1","coral_city","mcav",20,0.0385,0.03925,0.02275,0.0235,0.01375,0.415600075
"8","CC-MCAV 20M 3.1","coral_city","mcav",20,0.0515,0.05225,0.02375,0.0225,0.01975,0.564371475
"9","CC-MCAV 20M 5.1","coral_city","mcav",20,0.0605,0.06025,0.02575,0.0245,0.00775,0.674259075
"10","CC-MCAV 20M 6.1","coral_city","mcav",20,0.1985,0.19525,0.05575,0.0645,0.03275,2.190978075
"11","CC-MCAV 20M 7.1","coral_city","mcav",20,0.1305,0.13025,0.04175,0.0385,0.00875,1.489753875
"12","CC-MCAV 30M 1.1","coral_city","mcav",30,0.0815,0.08225,0.04475,0.0415,0.03575,0.873556275
"13","CC-MCAV 30M 2.1","coral_city","mcav",30,0.0575,0.05525,0.02575,0.0265,0.01775,0.596735075
"14","CC-MCAV 30M 3.1","coral_city","mcav",30,0.1945,0.19625,0.08475,0.0775,0.07375,2.131162275
"15","CC-MCAV 30M 4.1","coral_city","mcav",30,0.1305,0.12725,0.04575,0.0455,0.01375,1.435856375
"16","CC-MCAV 30M 5.1","coral_city","mcav",30,0.0375,0.03925,0.01875,0.0235,0.01275,0.415703075
"17","CC-MCAV 30M 6.1","coral_city","mcav",30,0.2595,0.25825,0.08275,0.0795,0.03575,2.921904675
"18","CC-MCAV 30M 7.1","coral_city","mcav",30,0.1435,0.14425,0.04775,0.0445,0.01675,1.637028275
"19","CC-MCAV 30M 8.1","coral_city","mcav",30,0.1215,0.12225,0.03175,0.0365,0.00175,1.404392475
"20","CC-MCAV 40M 1.1","coral_city","mcav",40,0.0295,0.02725,0.02175,0.0205,0.01375,0.277183275
"21","CC-MCAV 40M 2.1","coral_city","mcav",40,0.2015,0.20025,0.06875,0.0745,0.02375,2.250404175
"22","CC-MCAV 40M 3.1","coral_city","mcav",40,0.1565,0.15725,0.06875,0.0605,0.04575,1.729809375
"23","CC-MCAV 40M 4.1","coral_city","mcav",40,0.2555,0.25525,0.08775,0.0845,0.02175,2.899017475
"24","CC-MCAV 40M 5.1","coral_city","mcav",40,0.3815,0.38425,0.13375,0.1235,0.06075,4.331101775
"25","CC-MCAV 40M 7.1","coral_city","mcav",40,0.2225,0.22325,0.06875,0.0705,0.03275,2.519239375
"26","CC-MCAV 40M 8.1","coral_city","mcav",40,0.1205,0.12025,0.03775,0.0365,0.00775,1.373911875
"27","CC-MCAV 50M 1.1","coral_city","mcav",50,0.3035,0.30025,0.10375,0.1115,0.04175,3.365995375
"28","CC-MCAV 50M 2.1","coral_city","mcav",50,0.1915,0.19225,0.09875,0.0955,0.05975,2.076587475
"29","CC-MCAV 50M 3.1","coral_city","mcav",50,0.1855,0.18325,0.05575,0.0605,0.00875,2.088976075
"30","CC-MCAV 50M 4.1","coral_city","mcav",50,0.1485,0.14925,0.04275,0.0395,0.00875,1.715277075
