,sample,site,species,depth,six_six_three,six_six_four,six_three_zero,six_four_seven,six_nine_one,ug_ml,zoox_count,avg_count,surface_area_cm2,adj_vol,resuspend_ml,vol_counted,cell_ml,cell_cm
1,CC-PAST 10M 1.1,coral_city,porites_astreoides,10,0.2625,0.26525,0.09875,0.0885,0.03175,3.000810375,47,65.5,14.157,7,1,0.0001,4585000,323868.0511
2,CC-PAST 10M 2.1,coral_city,porites_astreoides,10,0.3435,0.35125,0.11775,0.1185,0.08975,3.898887875,39,46.25,15.006,10.6,1,0.0001,4902500,326702.6523
3,CC-PAST 10M 3.1,coral_city,porites_astreoides,10,0.2225,0.22325,0.10275,0.0905,0.09375,2.408287375,134,205.75,23.639,11.6,1,0.0001,23867000,1009645.078
4,CC-PAST 10M 5.1,coral_city,porites_astreoides,10,0.0685,0.06925,0.01475,0.0145,-0.00425,0.812758175,116,125.25,18.469,7.2,1,0.0001,9018000,488277.6544
5,CC-PAST 10M 6.1,coral_city,porites_astreoides,10,0.1505,0.15425,0.04875,0.0435,0.00975,1.768564875,67,108.75,66.476,18.7,1,0.0001,20336250,305918.6774
6,CC-PAST 10M 7.1,coral_city,porites_astreoides,10,0.4195,0.12525,0.14675,0.1225,0.05975,1.245047775,122,121,32.635,7.8,1,0.0001,9438000,289198.713
7,CC-PAST 10M 8.1,coral_city,porites_astreoides,10,0.1575,0.15825,0.04575,0.0435,0.00775,1.818207175,106,108.75,18.312,8.6,1,0.0001,9352500,510730.6684
8,CC-PAST 20M 1.1,coral_city,porites_astreoides,20,0.0845,0.08625,0.03675,0.0355,0.02375,0.946336075,80,66.5,35.335,9.8,1,0.0001,6517000,184434.6965
9,CC-PAST 20M 2.1,coral_city,porites_astreoides,20,0.3275,0.33025,0.10675,0.1035,0.02575,3.762194675,68,91,31.136,14.8,1,0.0001,13468000,432553.9568
10,CC-PAST 20M 3.1,coral_city,porites_astreoides,20,0.1665,0.16925,0.04675,0.0465,0.01075,1.940387975,80,80.25,137.55,16.4,1,0.0001,13161000,95681.57034
11,CC-PAST 20M 4.1,coral_city,porites_astreoides,20,0.0845,0.08725,0.02275,0.0215,0.00475,1.005294075,107,100.5,12.604,7,1,0.0001,7035000,558156.1409
12,CC-PAST 20M 5.1,coral_city,porites_astreoides,20,0.0905,0.09125,0.02375,0.0215,-0.00025,1.060555775,35,40,8.515,7,1,0.0001,2800000,328831.4739
13,CC-PAST 20M 6.1,coral_city,porites_astreoides,20,0.1475,0.05525,0.05875,0.0525,0.02675,0.549351375,266,268.5,12.131,5.4,1,0.0001,14499000,1195202.374
14,CC-PAST 20M 7.1,coral_city,porites_astreoides,20,0.0905,0.09225,0.02475,0.0255,0.00475,1.058684875,72,56.75,10.267,7,1,0.0001,3972500,386919.2559
15,CC-PAST 20M 8.1,coral_city,porites_astreoides,20,0.2805,0.28225,0.08975,0.0885,0.05475,3.167970875,124,123.75,27.734,11.2,1,0.0001,13860000,499747.6022
16,CC-PAST 30M 1.1,coral_city,porites_astreoides,30,0.1215,0.12525,0.05575,0.0505,0.02475,1.390807875,78,63.5,25.552,7.8,1,0.0001,4953000,193840.0125
17,CC-PAST 30M 2.1,coral_city,porites_astreoides,30,0.0995,0.09425,0.03775,0.0375,0.01375,1.053030575,78,108.25,30.425,7,1,0.0001,7577500,249055.0534
18,CC-PAST 30M 3.1,coral_city,porites_astreoides,30,0.2435,0.24725,0.09275,0.0875,0.09775,2.691152275,286,250,47.969,10.6,1,0.0001,26500000,552440.1176
19,CC-PAST 30M 4.1,coral_city,porites_astreoides,30,0.2285,0.23625,0.07075,0.0675,0.03775,2.673270275,273,303,73.683,19.4,1,0.0001,58782000,797768.8205
20,CC-PAST 30M 5.1,coral_city,porites_astreoides,30,0.0945,0.09525,0.02875,0.0275,0.02775,1.059444275,141,146,19.523,7.6,1,0.0001,11096000,568355.2733
21,CC-PAST 30M 6.1,coral_city,porites_astreoides,30,0.0985,0.03825,0.03975,0.0355,0.04875,0.338245175,52,50.25,19.829,7.7,1,0.0001,3869250,195130.8689
22,CC-PAST 30M 7.1,coral_city,porites_astreoides,30,0.1265,0.12925,0.04175,0.0395,0.03275,1.441726775,245,260,10.21,6,1,0.0001,15600000,1527913.81
23,CC-PAST 30M 8.1,coral_city,porites_astreoides,30,0.0625,0.06325,0.01775,0.0155,-0.00025,0.734617775,183,183.75,23.013,7.6,1,0.0001,13965000,606830.9217
24,CC-PAST 40M 1.1,coral_city,porites_astreoides,40,0.1045,0.10725,0.04675,0.0445,0.02875,1.177593775,265,251.75,58.17,16.2,1,0.0001,40783500,701108.819
25,CC-PAST 40M 2.1,coral_city,porites_astreoides,40,0.2915,0.29625,0.10275,0.0995,0.07075,3.297381275,165,199.5,46.292,9.2,1,0.0001,18354000,396483.1936
26,CC-PAST 40M 3.1,coral_city,porites_astreoides,40,0.1395,0.14325,0.05275,0.0475,0.01875,1.618636875,115,155.25,19.866,6,1,0.0001,9315000,468891.5735
27,CC-PAST 40M 4.1,coral_city,porites_astreoides,40,0.2125,0.21625,0.07975,0.0755,0.06675,2.381897975,196,146,26.322,9,1,0.0001,13140000,499202.1883
28,CC-PAST 40M 5.1,coral_city,porites_astreoides,40,0.2705,0.27425,0.10075,0.0955,0.08175,3.025202475,72,70.25,42.766,16.2,1,0.0001,11380500,266110.9292
29,CC-PAST 40M 6.1,coral_city,porites_astreoides,40,0.2425,0.07525,0.07275,0.0725,0.03675,0.743605975,75,83.25,15.877,7,1,0.0001,5827500,367040.3729
30,CC-PAST 40M 7.1,coral_city,porites_astreoides,40,0.0735,0.07425,0.02175,0.0225,0.01675,0.830771875,68,92.75,6.505,5,1,0.0001,4637500,712913.1437
31,CC-PAST 40M 8.1,coral_city,porites_astreoides,40,0.1035,0.10325,0.03275,0.0305,0.01375,1.171108375,196,154,33.543,11.4,1,0.0001,17556000,523387.8902
32,MF-PAST 10M 1.1,marthas,porites_astreoides,10,0.1225,0.1225,0.0535,0.0545,0.0305,1.3419946,48,57.75,15.721,8.2,1,0.0001,4735500,301221.2964
33,MF-PAST 10M 2.1,marthas,porites_astreoides,10,0.2335,0.2355,0.1065,0.0895,0.0645,2.599442,111,83.25,47.083,16,1,0.0001,13320000,282904.6577
34,MF-PAST 10M 3.1,marthas,porites_astreoides,10,0.2085,0.2105,0.0915,0.0805,0.0585,2.3201786,255,274.75,66.342,15.7,1,0.0001,43135750,650202.7373
35,MF-PAST 10M 4.1,marthas,porites_astreoides,10,0.3915,0.3965,0.1495,0.1405,0.0635,4.448987,294,276.25,46.985,12.4,1,0.0001,34255000,729062.4667
36,MF-PAST 10M 5.1,marthas,porites_astreoides,10,0.3495,0.3575,0.1475,0.1545,0.0985,3.9079494,72,100.25,25.092,11.4,1,0.0001,11428500,455463.8929
37,MF-PAST 10M 7.1,marthas,porites_astreoides,10,0.0775,0.0785,0.0275,0.0265,0.0125,0.8825292,184,168.5,21.319,8,1,0.0001,13480000,632299.8264
38,MF-PAST 10M 8.1,marthas,porites_astreoides,10,0.1905,0.1935,0.0995,0.1025,0.0815,2.0484116,260,274,39.382,11.2,1,0.0001,30688000,779239.2464
39,MF-PAST 20M 1.1,marthas,porites_astreoides,20,0.0795,0.0795,0.0375,0.0385,0.0275,0.8553514,117,110,21.44,9,1,0.0001,9900000,461753.7313
40,MF-PAST 20M 2.1,marthas,porites_astreoides,20,0.1685,0.1745,0.0615,0.0595,0.0325,1.9541445,41,55.25,18.203,8.6,1,0.0001,4751500,261028.4019
41,MF-PAST 20M 3.1,marthas,porites_astreoides,20,0.0365,0.0365,0.0225,0.0235,0.0175,0.3773058,422,344.25,33.53,7,1,0.0001,24097500,718684.7599
42,MF-PAST 20M 4.1,marthas,porites_astreoides,20,0.0915,0.0965,0.0655,0.0725,0.0805,0.9324252,257,283.5,12.208,4.2,1,0.0001,11907000,975344.0367
43,MF-PAST 20M 5.1,marthas,porites_astreoides,20,0.3845,0.3855,0.1155,0.1235,0.1285,4.2430517,33,30,38.888,11,1,0.0001,3300000,84859.08249
44,MF-PAST 20M 6.1,marthas,porites_astreoides,20,0.1075,0.1075,0.0285,0.0305,0.0065,1.2308325,128,129,40.347,10.9,1,0.0001,14061000,348501.7473
45,MF-PAST 20M 7.1,marthas,porites_astreoides,20,0.3195,0.3235,0.1215,0.1245,0.0985,3.5456722,63,53.25,20.108,7,1,0.0001,3727500,185373.9805
46,MF-PAST 20M 8.1,marthas,porites_astreoides,20,0.4035,0.4105,0.1315,0.1325,0.0585,4.6313726,73,75.5,36.445,10.6,1,0.0001,8003000,219591.1648
47,MF-PAST 30M 2.1,marthas,porites_astreoides,30,0.1075,0.1065,0.0455,0.0455,0.0225,1.1754135,254,259,25.552,7.8,1,0.0001,20202000,790623.0432
48,MF-PAST 30M 3.1,marthas,porites_astreoides,30,0.1215,0.1205,0.0415,0.0445,0.0215,1.3444838,269,303.75,47.969,10.6,1,0.0001,32197500,671214.7429
49,MF-PAST 30M 4.1,marthas,porites_astreoides,30,0.0355,0.0345,0.0175,0.0195,0.0115,0.3673355,38,65.5,73.683,19.4,1,0.0001,12707000,172454.976
50,MF-PAST 30M 6.1,marthas,porites_astreoides,30,0.4945,0.4925,0.1365,0.1505,0.0375,5.6110261,76,75.5,19.829,7.7,1,0.0001,5813500,293181.7036
51,MF-PAST 30M 7.1,marthas,porites_astreoides,30,0.0955,0.0955,0.0385,0.0345,0.0235,1.0595069,66,84,10.21,6,1,0.0001,5040000,493633.6925
52,MF-PAST 30M 8.1,marthas,porites_astreoides,30,0.4185,0.4195,0.1185,0.1245,0.0335,4.7843087,70,73.25,23.013,7.6,1,0.0001,5567000,241906.7484
53,MF-PAST 40M 1.1,marthas,porites_astreoides,40,0.2145,0.2165,0.0775,0.0745,0.0335,2.4334532,23,48,35.887,7.2,1,0.0001,3456000,96302.28216
54,MF-PAST 40M 2.1,marthas,porites_astreoides,40,0.1465,0.1465,0.0645,0.0615,0.0455,1.5986078,67,63.25,17.588,7,1,0.0001,4427500,251734.1369
55,MF-PAST 40M 3.1,marthas,porites_astreoides,40,0.0705,0.0695,0.0385,0.0365,0.0215,0.7483219,21,54.75,62.967,21.6,1,0.0001,11826000,187812.6638
