,frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml,chl_cell,cell_cm,fv_fm,sigma,p,pmax
1,mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.97,0.368,0.321,0.067,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
2,mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.867,0.325,0.294,0.103,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
3,mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.704,0.292,0.234,0.069,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
4,mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.94,0.311,0.262,0.073,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
5,mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.808,0.423,0.317,0.34,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
6,mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.905,0.348,0.218,0.262,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
7,mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.839,0.324,0.369,0.215,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
8,mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.881,0.395,0.243,0.169,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
9,mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.607,0.305,0.23,0.108,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
10,mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.908,0.312,0.338,0.143,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
11,mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.974,0.352,0.216,0.115,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
12,mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.8,0.419,0.322,0.123,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
13,mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.437,0.418,0.39,0.033,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
14,mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.312,0.352,0.401,0.034,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
15,mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.074,0.428,0.427,0.095,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
16,mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.108,0.23,0.298,0.051,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
17,mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.99,0.234,0.344,0.071,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
18,mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.959,0.237,0.354,0.056,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
19,mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.86,0.253,0.31,0.019,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
20,mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.773,0.266,0.35,0.047,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
21,mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.27,0.458,0.317,0.046,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
22,mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.082,0.469,0.396,0.074,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
23,mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.267,0.483,0.407,0.038,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
24,mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.163,0.485,0.294,0.053,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
25,mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,1.058,0.35,0.236,0.019,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
26,mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,1.051,0.346,0.339,0.059,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
27,mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,0.778,0.235,0.281,0.031,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
28,mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,0.693,0.259,0.195,0.058,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
29,mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,1.005,0.392,0.424,0.036,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
30,mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,0.984,0.46,0.377,0.038,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
31,mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,0.934,0.286,0.321,0.045,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
32,mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,1.122,0.52,0.328,0.03,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
33,mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.389,0.498,0.484,0.066,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
34,mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.484,0.516,0.573,0.241,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
35,mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.544,0.536,0.601,0.129,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
36,mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.538,0.581,0.562,0.036,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
37,mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.72,0.69,0.422,0.172,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
38,mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.622,0.536,0.499,0.109,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
39,mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.604,0.681,0.434,0.037,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
40,mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.767,0.565,0.565,0.172,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
