,...1,sample,site,species,depth,six_six_three,six_six_four,six_three_zero,six_four_seven,six_nine_one,ug_ml,zoox_count,avg_count,surface_area_cm2,adj_vol,resuspend_ml,vol_counted,cell_ml,cell_cm,chl_cell,mean_chl_cell,mean_cell_cm
34,34,MF-MCAV 10M 1.1,marthas,mcav,10,0.1205,0.1215,0.0535,0.0495,0.0475,1.3144727,119,104.25,28.874,9.4,1,1.00E-04,9799500,339388.38,1.34E-07,1.43E-07,537714.8371
35,35,MF-MCAV 10M 2.1,marthas,mcav,10,0.1205,0.1215,0.0495,0.0435,0.0315,1.3465257,74,60.25,16.145,7.6,1,1.00E-04,4579000,283617.22,2.94E-07,1.43E-07,537714.8371
36,36,MF-MCAV 10M 4.1,marthas,mcav,10,0.0975,0.1215,0.0375,0.0385,0.0365,1.3441324,146,128.25,15.393,11.4,1,1.00E-04,14620500,949814.85,9.19E-08,1.43E-07,537714.8371
37,37,MF-MCAV 10M 5.1,marthas,mcav,10,0.0575,0.0975,0.0275,0.0275,0.0175,1.1005675,46,64.75,8.051,7,1,1.00E-04,4532500,562973.54,2.43E-07,1.43E-07,537714.8371
38,38,MF-MCAV 10M 6.1,marthas,mcav,10,0.0305,0.0565,0.0165,0.0165,0.0095,0.6378827,115,119.5,24.042,14.6,1,1.00E-04,17447000,725688.38,3.66E-08,1.43E-07,537714.8371
39,39,MF-MCAV 10M 7.1,marthas,mcav,10,0.1485,0.0305,0.0545,0.0505,0.0245,0.2590377,73,66.75,15.089,4,1,1.00E-04,2670000,176950.1,9.70E-08,1.43E-07,537714.8371
40,40,MF-MCAV 10M 8.1,marthas,mcav,10,0.1585,0.1475,0.0535,0.0555,0.0415,1.6231145,151,174.25,21.614,9,1,1.00E-04,15682500,725571.39,1.03E-07,1.43E-07,537714.8371
41,41,MF-MCAV 20M 2.1,marthas,mcav,20,0.1765,0.1765,0.0695,0.0635,0.0255,1.9837083,132,132.25,20.514,11.2,1,1.00E-04,14812000,722043.48,1.34E-07,1.37E-07,503549.13
42,42,MF-MCAV 20M 3.1,marthas,mcav,20,0.1625,0.1625,0.0675,0.0595,0.0385,1.8042219,56,62.5,58.961,25.6,1,1.00E-04,1.60E+07,271365.82,1.13E-07,1.37E-07,503549.13
43,43,MF-MCAV 20M 4.1,marthas,mcav,20,0.2255,0.1625,0.0695,0.0785,0.0215,1.7959844,47,32.75,30.694,18,1,1.00E-04,5895000,192057.08,3.05E-07,1.37E-07,503549.13
44,44,MF-MCAV 20M 5.1,marthas,mcav,20,0.2515,0.2225,0.0925,0.0825,0.0445,2.4803723,161,155.5,28.05,12,1,1.00E-04,18660000,665240.64,1.33E-07,1.37E-07,503549.13
45,45,MF-MCAV 20M 6.1,marthas,mcav,20,0.0675,0.2505,0.0315,0.0295,0.0255,2.9144159,471,404,246.982,22,1,1.00E-04,88880000,359864.28,3.28E-08,1.37E-07,503549.13
