"","Species","Colony","depth","Site","File","DATE","TIME","PAR","Depth(m)","T(C)","Battery_V","Dark_Fo","Fm","Fv","Fv/Fm","Sigma","p","Alp1","Tau1","Alp2","Tau2","Alp3","Tau3","Alp4","Tau4","TauAv1","TauAv2","GAIN","Light_Fo","Fm.1","Fv.1","Fv/Fm.1","Sigma.1","p.1","Alp1.1","Tau1.1","Alp2.1","Tau2.1","Alp3.1","Tau3.1","Alp4.1","Tau4.1","TauAv1.1","TauAv2.1","Pmax.e.s","mean_fv_fm","mean_sig","mean_p","mean_pmax"
"1","MCAV",1,50,"MF",20230710.001,"10/07/2023",56802,350,27.7,28.6,15.95,589.8,1023.9,434.1,0.424,759.6,0.39,0.7,590,0.23,3184,0.07,125845,"--------","-------",1235,10568,0,1275.1,1433.8,158.7,0.111,673.8,0.23,0.167,571,0.675,18353,0.159,18373,"--------","-------",14829,15391,67.4,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"2","MCAV",1,50,"MF",20230710.002,"10/07/2023",56812,377.3,27.7,28.6,15.95,711.1,1207.8,496.7,0.411,775.8,0.41,0.58,490,0.32,1744,0.1,30239,"--------","-------",939,3878,0,1314.7,1509,194.3,0.129,603.3,0.38,0.205,745,0.68,15223,0.115,15335,"--------","-------",11867,12267,84.3,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"3","MCAV",1,50,"MF",20230710.003,"10/07/2023",56823,617.9,27.7,28.6,15.93,481.3,765,283.7,0.371,591.6,0.31,0.68,557,0.2,2808,0.12,134250,"--------","-------",1070,17696,0,784.1,884.1,100,0.113,555.1,0.3,0.22,731,0.703,15576,0.078,16489,"--------","-------",12041,12387,83.1,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"4","MCAV",2,50,"MF",20230710.004,"10/07/2023",56937,503.6,26.9,28.7,15.87,518.2,916.4,398.2,0.435,672.6,0.41,0.58,424,0.31,1860,0.11,26973,"--------","-------",923,3840,0,888.8,1014,125.2,0.123,563.8,0.3,0.185,674,0.696,15887,0.119,16027,"--------","-------",12691,13088,78.8,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"5","MCAV",2,50,"MF",20230710.005,"10/07/2023",56947,583.2,26.8,28.7,15.88,469.3,833.9,364.7,0.437,630.8,0.38,0.59,418,0.3,1934,0.11,99430,"--------","-------",928,11878,0,809.3,931.1,121.8,0.131,536,0.32,0.207,696,0.085,13260,0.708,13283,"--------","-------",10435,10675,95.8,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"6","MCAV",2,50,"MF",20230710.006,"10/07/2023",56957,483.3,26.9,28.7,15.87,596.8,1042.8,446,0.428,714.2,0.37,0.56,430,0.31,1637,0.13,21183,"--------","-------",863,3424,0,970.3,1115.8,145.5,0.13,570.3,0.34,0.211,686,0.093,14163,0.696,14167,"--------","-------",11031,11322,90.7,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"7","MCAV",3,50,"MF",20230710.007,"10/07/2023",56971,563,26.9,28.7,15.86,463.5,843.6,380,0.451,649.8,0.39,0.64,467,0.27,2066,0.1,17161,"--------","-------",943,2493,0,839.3,969.6,130.3,0.134,530.2,0.35,0.218,752,0.677,14510,0.104,14940,"--------","-------",11155,11550,89.6,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"8","MCAV",3,50,"MF",20230710.008,"10/07/2023",56981,779.9,26.9,28.6,15.86,420.2,746.2,326,0.437,588.2,0.37,0.59,410,0.29,1787,0.11,24866,"--------","-------",866,3610,0,762,879.6,117.7,0.134,524.3,0.32,0.228,718,0.07,11097,0.703,11109,"--------","-------",8567,8743,116.7,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"9","MCAV",3,50,"MF",20230710.009,"10/07/2023",56993,606.4,26.9,28.6,15.85,555.8,989.1,433.2,0.438,645.8,0.36,0.59,449,0.31,1975,0.1,90466,"--------","-------",975,10163,0,978.9,1134.4,155.5,0.137,548.9,0.39,0.224,705,0.7,11479,0.076,11505,"--------","-------",8863,9064,112.8,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"10","MCAV",4,50,"MF",20230710.01,"10/07/2023",57009,632,26.9,28.7,15.85,601.5,995.4,393.8,0.396,638.1,0.35,0.5,453,0.35,1538,0.15,25187,"--------","-------",894,4509,0,846.9,964.7,117.7,0.122,571.8,0.34,0.221,696,0.702,13034,0.076,13047,"--------","-------",10077,10303,99.2,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"11","MCAV",4,50,"MF",20230710.011,"10/07/2023",57020,520.1,26.9,28.7,15.86,785.9,1238.8,452.9,0.366,667.7,0.32,0.53,469,0.37,2084,0.1,56258,"--------","-------",1133,6616,0,1101.3,1253.4,152.1,0.121,600.2,0.38,0.233,766,0.078,12601,0.689,12666,"--------","-------",9655,9885,103.6,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"12","MCAV",4,50,"MF",20230710.012,"10/07/2023",57033,517.8,26.9,28.7,15.84,574,964.8,390.8,0.405,654.2,0.35,0.54,441,0.34,1762,0.12,27775,"--------","-------",954,4185,0,905.3,1046.4,141.1,0.135,554,0.34,0.243,764,0.075,12580,0.682,12613,"--------","-------",9499,9729,105.3,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"13","MCAV",5,50,"MF",20230710.013,"10/07/2023",57219,381.4,26.3,29.2,15.77,642,1123.5,481.5,0.429,868.7,0.48,0.62,478,0.29,1224,0.09,22090,"--------","-------",716,2736,0,1269.8,1444.7,174.9,0.121,588.8,0.37,0.179,700,0.674,16858,0.147,16903,"--------","-------",13472,13978,74.2,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"14","MCAV",5,50,"MF",20230710.014,"10/07/2023",57233,261.2,26.3,29.2,15.78,643.5,1132.1,488.6,0.432,834.2,0.48,0.65,501,0.25,2035,0.1,43246,"--------","-------",930,5026,0,1267.1,1455.3,188.2,0.129,576.9,0.3,0.177,635,0.678,21061,0.145,21197,"--------","-------",16838,17469,59.4,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"15","MCAV",5,50,"MF",20230710.015,"10/07/2023",57243,495.5,26.2,29.2,15.77,593.4,1003.8,410.4,0.409,804.6,0.47,0.64,472,0.28,1390,0.08,41584,"--------","-------",751,4028,0,1115.2,1274.2,159,0.125,571.1,0.37,0.219,733,0.677,15046,0.104,15088,"--------","-------",11552,11920,86.6,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"16","MCAV",6,50,"MF",20230710.016,"10/07/2023",57303,715.2,25,29.3,15.75,297,541.7,244.6,0.452,532.8,0.34,0.69,478,0.2,3182,0.11,100726,"--------","-------",1079,12215,0,601.6,695.3,93.7,0.135,505.3,0.32,0.244,738,0.707,14771,0.049,15770,"--------","-------",11175,11402,89.5,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"17","MCAV",6,50,"MF",20230710.017,"10/07/2023",57314,789.6,25,29.4,15.74,302.6,553.8,251.2,0.454,553.6,0.36,0.7,476,0.19,2775,0.12,64417,"--------","-------",961,8346,0,605.3,695.6,90.3,0.13,521.7,0.24,0.218,643,0.704,12801,0.078,12809,"--------","-------",9927,10153,100.7,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"18","MCAV",6,50,"MF",20230710.018,"10/07/2023",57326,884.7,25,29.3,15.75,160.4,294.5,134.2,0.456,443,0.19,0.64,405,0.23,2590,0.13,93718,"--------","-------",980,12618,400,325.4,376.7,51.3,0.136,466.7,0.13,0.275,630,0.08,13744,0.645,13779,"--------","-------",9855,10166,101.5,0.423944444444444,668.072222222222,0.373888888888889,91.0666666666667
"19","MCAV",1,40,"MF",20230710.019,"10/07/2023",57404,822.3,22.6,29.6,15.73,348.7,604.5,255.8,0.423,591,0.25,0.53,383,0.29,1257,0.18,26214,"--------","-------",691,5184,0,573.3,649.4,76,0.117,525.1,0.32,0.231,626,0.711,15252,0.058,15511,"--------","-------",11671,11894,85.7,0.387111111111111,610.244444444444,0.325555555555556,117.266666666667
"20","MCAV",1,40,"MF",20230710.02,"10/07/2023",57415,667.2,22.5,29.6,15.72,449.4,759.9,310.6,0.409,648.8,0.33,0.61,442,0.26,1821,0.13,94852,"--------","-------",849,13146,0,726.1,833.8,107.7,0.129,534.6,0.31,0.228,689,0.682,13866,0.09,13873,"--------","-------",10566,10863,94.6,0.387111111111111,610.244444444444,0.325555555555556,117.266666666667
