frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml
cc_10_mcav_1,coral_city,10,1,montastrea_cavernosa,0.895,0.355,0.371,0.005,0.864807832
cc_10_mcav_1,coral_city,10,2,montastrea_cavernosa,0.792,0.288,0.363,0.011,0.864807832
cc_10_mcav_1,coral_city,10,3,montastrea_cavernosa,0.752,0.195,0.27,0.011,0.864807832
cc_10_mcav_1,coral_city,10,4,montastrea_cavernosa,0.887,0.38,0.292,0.013,0.864807832
cc_10_mcav_2,coral_city,10,1,montastrea_cavernosa,0.908,0.33,0.232,0.014,0.864807832
cc_10_mcav_2,coral_city,10,2,montastrea_cavernosa,0.854,0.319,0.271,0.014,0.864807832
cc_10_mcav_2,coral_city,10,3,montastrea_cavernosa,0.789,0.276,0.289,0.014,0.864807832
cc_10_mcav_2,coral_city,10,4,montastrea_cavernosa,0.914,0.293,0.265,0.016,0.864807832
cc_10_mcav_3,coral_city,10,3,montastrea_cavernosa,1.199,0.412,0.377,0.018,0.864807832
cc_10_mcav_3,coral_city,10,3,montastrea_cavernosa,0.889,0.339,0.339,0.018,0.864807832
cc_10_mcav_3,coral_city,10,3,montastrea_cavernosa,0.844,0.365,0.29,0.018,0.864807832
cc_10_mcav_3,coral_city,10,3,montastrea_cavernosa,0.848,0.316,0.242,0.019,0.864807832
cc_10_mcav_4,coral_city,10,4,montastrea_cavernosa,1.277,0.474,0.391,0.02,0.864807832
cc_10_mcav_4,coral_city,10,4,montastrea_cavernosa,0.911,0.374,0.293,0.02,0.864807832
cc_10_mcav_4,coral_city,10,4,montastrea_cavernosa,0.859,0.29,0.183,0.02,0.864807832
cc_10_mcav_4,coral_city,10,4,montastrea_cavernosa,1.153,0.403,0.37,0.021,0.864807832
cc_10_mcav_5,coral_city,10,5,montastrea_cavernosa,1.113,0.326,0.538,0.021,0.864807832
cc_10_mcav_5,coral_city,10,5,montastrea_cavernosa,1.029,0.48,0.306,0.022,0.864807832
cc_10_mcav_5,coral_city,10,5,montastrea_cavernosa,1.254,0.491,0.394,0.022,0.864807832
cc_10_mcav_5,coral_city,10,5,montastrea_cavernosa,1.175,0.53,0.264,0.022,0.864807832
cc_10_mcav_6,coral_city,10,6,montastrea_cavernosa,0.976,0.18,0.38,0.024,0.864807832
cc_10_mcav_6,coral_city,10,6,montastrea_cavernosa,1.178,0.293,0.633,0.024,0.864807832
cc_10_mcav_6,coral_city,10,6,montastrea_cavernosa,1.212,0.356,0.421,0.025,0.864807832
cc_10_mcav_6,coral_city,10,6,montastrea_cavernosa,0.1285,0.41,0.39,0.025,0.864807832
cc_10_mcav_7,coral_city,10,7,montastrea_cavernosa,0.993,0.39,0.293,0.026,0.864807832
cc_10_mcav_7,coral_city,10,7,montastrea_cavernosa,0.791,0.293,0.274,0.026,0.864807832
cc_10_mcav_7,coral_city,10,7,montastrea_cavernosa,0.931,0.331,0.165,0.027,0.864807832
cc_10_mcav_7,coral_city,10,7,montastrea_cavernosa,0.816,0.441,0.252,0.027,0.864807832
cc_10_mcav_8,coral_city,10,8,montastrea_cavernosa,0.651,0.271,0.192,0.028,0.864807832
cc_10_mcav_8,coral_city,10,8,montastrea_cavernosa,0.87,0.296,0.313,0.03,0.864807832
