frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,septa_width,septa,ug_ml
cc_10_past_1,coral_city,10,1,past,0.146,0.05,0.043,0.019,0.007,12,2.284585975
cc_10_past_1,coral_city,10,2,past,0.162,0.058,0.044,0.02,0.008,12,2.284585975
cc_10_past_1,coral_city,10,8,past,0.162,0.061,0.047,0.017,0.009,12,2.284585975
cc_10_past_1,coral_city,10,12,past,0.147,0.061,0.039,0.015,0.009,12,2.284585975
cc_10_past_1,coral_city,10,15,past,0.152,0.063,0.046,0.015,0.009,12,2.284585975
cc_10_past_1,coral_city,10,16,past,0.149,0.039,0.041,0.012,0.008,12,2.284585975
cc_10_past_1,coral_city,10,17,past,0.143,0.041,0.046,0.018,0.012,12,2.284585975
cc_10_past_1,coral_city,10,18,past,0.142,0.059,0.051,0.015,0.008,12,2.284585975
cc_10_past_1,coral_city,10,19,past,0.14,0.06,0.048,0.015,0.01,12,2.284585975
cc_10_past_1,coral_city,10,20,past,0.153,0.059,0.05,0.016,0.009,12,2.284585975
cc_10_past_2,coral_city,10,1,past,0.13,0.047,0.038,0.012,0.009,12,2.284585975
cc_10_past_2,coral_city,10,3,past,0.13,0.044,0.037,0.01,0.008,12,2.284585975
cc_10_past_2,coral_city,10,5,past,0.139,0.05,0.038,0.017,0.01,12,2.284585975
cc_10_past_3,coral_city,10,8,past,0.132,0.037,0.03,0.011,0.006,12,2.284585975
cc_10_past_3,coral_city,10,0,past,0.152,0.072,0.056,0.015,0.018,12,2.284585975
cc_10_past_3,coral_city,10,1,past,0.138,0.064,0.04,0.018,0.015,12,2.284585975
cc_10_past_3,coral_city,10,2,past,0.144,0.072,0.044,0.026,0.011,12,2.284585975
cc_10_past_3,coral_city,10,3,past,0.14,0.083,0.045,0.027,0.015,12,2.284585975
cc_10_past_5,coral_city,10,5,past,0.123,0.047,0.031,0.017,0.01,12,2.284585975
cc_10_past_5,coral_city,10,8,past,0.122,0.039,0.033,0.018,0.008,12,2.284585975
cc_10_past_5,coral_city,10,10,past,0.137,0.049,0.05,0.01,0.009,11,2.284585975
cc_10_past_5,coral_city,10,11,past,0.139,0.058,0.038,0.024,0.01,12,2.284585975
cc_10_past_5,coral_city,10,13,past,0.14,0.059,0.037,0.016,0.014,12,2.284585975
cc_10_past_5,coral_city,10,14,past,0.138,0.047,0.036,0.02,0.009,12,2.284585975
cc_10_past_5,coral_city,10,17,past,0.15,0.056,0.033,0.016,0.013,12,2.284585975
cc_10_past_5,coral_city,10,18,past,0.137,0.072,0.047,0.012,0.013,12,2.284585975
cc_10_past_5,coral_city,10,19,past,0.142,0.051,0.055,0.015,0.007,12,2.284585975
cc_10_past_6,coral_city,10,1,past,0.158,0.069,0.031,0.01,0.009,12,2.284585975
cc_10_past_6,coral_city,10,2,past,0.147,0.056,0.037,0.015,0.012,12,2.284585975
cc_10_past_6,coral_city,10,3,past,0.138,0.053,0.04,0.019,0.012,12,2.284585975
cc_10_past_6,coral_city,10,4,past,0.143,0.06,0.04,0.012,0.01,12,2.284585975
cc_10_past_6,coral_city,10,5,past,0.129,0.054,0.043,0.024,0.014,12,2.284585975
cc_10_past_6,coral_city,10,6,past,0.141,0.049,0.042,0.015,0.012,12,2.284585975
cc_10_past_6,coral_city,10,7,past,0.142,0.066,0.047,0.015,0.011,12,2.284585975
cc_10_past_7,coral_city,10,1,past,0.16,0.071,0.046,0.017,0.012,12,2.284585975
cc_10_past_7,coral_city,10,2,past,0.161,0.071,0.03,0.013,0.008,12,2.284585975
cc_10_past_7,coral_city,10,3,past,0.143,0.062,0.038,0.016,0.01,12,2.284585975
cc_10_past_7,coral_city,10,4,past,0.137,0.073,0.043,0.025,0.013,12,2.284585975
